transcription,GENE,LOF,DMIS,MIS,SYN
NM_024527,ABHD8,1.7256538624194113e-06,2.6554233418448284e-06,1.9669802532183914e-05,1.0819320847276593e-05
NM_005470,ABI1,2.3570256524310774e-06,1.810230043933885e-06,1.3409111436547296e-05,5.2119471110508e-06
NM_005759,ABI2,2.1701131207209546e-06,1.9082433979070355e-06,1.4135136280792853e-05,5.23359365186758e-06
NM_016428,ABI3,1.3230435664698078e-06,1.375098373873058e-06,1.018591388054117e-05,5.024582714960767e-06
NM_015429,ABI3BP,3.839294286128386e-06,3.550861789058765e-06,2.6302679918953814e-05,9.90603823670604e-06
NM_007313,ABL1,4.393613882662399e-06,5.436679963393704e-06,4.027170343254595e-05,1.9879250210418818e-05
NM_007314,ABL2,5.060312352211328e-06,4.229935727826045e-06,3.1332857243155887e-05,1.2950901491129308e-05
NM_001003408,ABLIM1,3.7585025725624114e-06,3.380911234029012e-06,2.5043786918733423e-05,1.0104155005282137e-05
NM_001130083,ABLIM2,2.5649583541440146e-06,2.82314879570964e-06,2.091221330155289e-05,1.0380063253450668e-05
NM_014945,ABLIM3,3.871220808666017e-06,3.128482777457448e-06,2.3173946499684798e-05,9.202376548056701e-06
NM_001091,ABP1,2.567125909044078e-06,3.6520252241211244e-06,2.7052038697193512e-05,1.2688199542156103e-05
NM_001159746,ABR,3.627413203834402e-06,3.697717839237266e-06,2.7390502512868634e-05,1.432847598064592e-05
NM_139166,ABRA,1.5524040032049296e-06,1.6392068811255449e-06,1.2142273193522554e-05,4.796229986444586e-06
NM_021243,ABRACL,3.7492054871407106e-07,3.16616663862037e-07,2.345308621200274e-06,8.89405887555891e-07
NM_013375,ABT1,9.026130159698097e-07,1.8622319285666724e-06,1.379431058197535e-05,4.8128242186760275e-06
NM_032548,ABTB1,1.58701121622953e-06,1.832035008992381e-06,1.3570629696239859e-05,6.683439175686149e-06
NM_145804,ABTB2,3.893539648377317e-06,4.198882952724942e-06,3.110283668685142e-05,1.576158904963839e-05
NM_001607,ACAA1,1.8835881927142813e-06,1.5596737702862052e-06,1.1553139039157076e-05,5.392622258915704e-06
NM_006111,ACAA2,1.6107863187937563e-06,1.2803649254562121e-06,9.484184633008978e-06,3.744553155859536e-06
NM_198839,ACACA,1.1402409853170344e-05,9.205211439386112e-06,6.818675140286009e-05,2.4204716483722253e-05
NM_001093,ACACB,1.0946189376954666e-05,1.1907861328845088e-05,8.820638021366732e-05,4.1257223711672e-05
NM_001136538,ACAD10,5.16339588353498e-06,4.462043177744727e-06,3.3052171686997973e-05,1.3982988484658373e-05
NM_032169,ACAD11,3.8110092662841007e-06,2.923706467858603e-06,2.165708494710076e-05,8.177113012534682e-06
NM_014384,ACAD8,2.2584685078512692e-06,1.7018989427580004e-06,1.2606658835244447e-05,5.626003525795439e-06
NM_014049,ACAD9,2.8183398457102212e-06,2.9183257588528886e-06,2.1617227843354728e-05,9.429746114598994e-06
NM_001608,ACADL,2.0009299782329526e-06,1.3709883629920948e-06,1.0155469355496997e-05,3.826484865951093e-06
NM_001127328,ACADM,2.0792971488225113e-06,1.4795640434571374e-06,1.0959733655238054e-05,3.759239540129174e-06
NM_000017,ACADS,1.7164470508745585e-06,2.16238872635011e-06,1.6017694269260072e-05,8.25277490767583e-06
NM_001609,ACADSB,1.8241686503084524e-06,1.3678351772571898e-06,1.013211242412733e-05,4.497798548932875e-06
NM_000018,ACADVL,2.8257091595028934e-06,2.7979101804364727e-06,2.0725260595825723e-05,9.097037814779893e-06
NM_013227,ACAN,7.2914906289980935e-06,9.645700402019433e-06,7.144963260755134e-05,3.3674410363771253e-05
NM_014716,ACAP1,3.7395720340366906e-06,3.452500645866139e-06,2.5574078858267697e-05,1.0551154926754916e-05
NM_012287,ACAP2,4.202806001943574e-06,2.666451989782026e-06,1.97514962206076e-05,7.741052270741218e-06
NM_030649,ACAP3,3.0499672043673832e-06,2.9534781923318953e-06,2.187761623949552e-05,1.0697936112908474e-05
NM_000019,ACAT1,1.712017678497257e-06,1.3168422995944056e-06,9.754387404403005e-06,3.7575087449048755e-06
NM_005891,ACAT2,1.5050095483618295e-06,1.3964769396661592e-06,1.0344273627156734e-05,3.748003605517048e-06
NM_022735,ACBD3,2.4671188364986557e-06,1.638074948127718e-06,1.2133888504649761e-05,4.467864566912838e-06
NM_001135704,ACBD4,1.7094004303717053e-06,1.3875024814329076e-06,1.0277796158762278e-05,4.813932540001448e-06
NM_145698,ACBD5,2.268991318555836e-06,1.8299270144336605e-06,1.3555014921730818e-05,5.873540936800826e-06
NM_032360,ACBD6,1.316288557673098e-06,9.779885461012373e-07,7.244359600749906e-06,3.527767866188742e-06
NM_001039844,ACBD7,4.215756980074462e-07,3.159612101243502e-07,2.34045340832852e-06,1.2711593609571531e-06
NM_032592,ACCS,2.0869440971416032e-06,2.0574712176263426e-06,1.5240527537972907e-05,5.76368184810413e-06
NM_001031854,ACCSL,2.3842040110891496e-06,2.2030977578925876e-06,1.6319242651056204e-05,5.9786069135249315e-06
NM_001082486,ACD,2.4409090747265555e-06,2.8657200912893974e-06,2.1227556231773313e-05,1.0325236310355214e-05
NM_000789,ACE,5.763182327365235e-06,5.5902826720368115e-06,4.140950127434675e-05,2.0710949036603373e-05
NM_021804,ACE2,3.7555664096873153e-06,2.6135677858159373e-06,1.9359761376414348e-05,7.613774324561507e-06
NM_133492,ACER1,1.0486619930101169e-06,1.2109710713599997e-06,8.970156084148145e-06,3.834422814430923e-06
NM_001010887,ACER2,1.2040235976197429e-06,1.1016249628766436e-06,8.16018491019736e-06,3.800143529415855e-06
NM_018367,ACER3,1.381596667259125e-06,7.527205424413713e-07,5.575707721787935e-06,2.070618071334657e-06
NM_015831,ACHE,2.559198080487191e-06,3.2729077802588523e-06,2.4243761335250755e-05,1.187408080382951e-05
NM_014977,ACIN1,6.504775809414912e-06,6.023289931843016e-06,4.461696245809641e-05,1.4921071106166968e-05
NM_001096,ACLY,5.2887545131889355e-06,4.967453020699594e-06,3.679594830147847e-05,1.6935577086915174e-05
NM_138326,ACMSD,1.6177933592523253e-06,1.2892399911289398e-06,9.549925860214369e-06,4.397440784473689e-06
NM_020186,ACN9,5.448814655738314e-07,6.48087684183025e-07,4.800649512466851e-06,2.1953309491398493e-06
NM_002197,ACO1,4.3626186363672775e-06,3.4788345009847226e-06,2.5769144451738684e-05,1.0582785655888955e-05
NM_001098,ACO2,3.2246841611052204e-06,3.5861939082405023e-06,2.6564399320300017e-05,1.2496833972112192e-05
NM_001037161,ACOT1,1.261016452242127e-06,2.1798859312174905e-06,1.6147303194203633e-05,8.03711162215398e-06
NM_147161,ACOT11,2.91940480674458e-06,3.2028291203914968e-06,2.3724660151048123e-05,1.021409751989849e-05
NM_130767,ACOT12,2.7202011190294e-06,2.0971706373583895e-06,1.5534597313765846e-05,6.284923560377517e-06
NM_001160094,ACOT13,4.863628081996159e-07,4.2680919635805993e-07,3.1615496026522957e-06,1.4849095487502388e-06
NM_006821,ACOT2,1.7371443597414667e-06,2.62926141742227e-06,1.947601049942422e-05,9.714042517287677e-06
NM_152331,ACOT4,1.3810804253883632e-06,1.6558987125922479e-06,1.2265916389572205e-05,5.827737747963689e-06
NM_001037162,ACOT6,6.461743641814534e-07,6.328980658961084e-07,4.688133821452655e-06,1.9098532585662366e-06
NM_007274,ACOT7,1.4783653458451132e-06,2.1204779877422805e-06,1.5707244353646523e-05,8.262281737435983e-06
NM_005469,ACOT8,1.6932278037817228e-06,1.5553701807648386e-06,1.1521260598258063e-05,5.4815073401765554e-06
NM_001037171,ACOT9,2.261361777830929e-06,1.5905003481039503e-06,1.178148406002926e-05,4.817259035591635e-06
NM_001185039,ACOX1,2.812684436848836e-06,2.4781852542134035e-06,1.8356927808988172e-05,7.4748072817566304e-06
NM_003500,ACOX2,2.81793334663668e-06,3.016016884426113e-06,2.2340865810563797e-05,9.616122783836638e-06
NM_003501,ACOX3,3.016872356089162e-06,3.0876905491175512e-06,2.2871781845315193e-05,1.1418261895482223e-05
NM_001142807,ACOXL,2.4763966019772088e-06,2.053684704160855e-06,1.5212479290080405e-05,6.532809588303903e-06
NM_007099,ACP1,7.682586774700006e-07,5.757497638357955e-07,4.264813065450337e-06,1.946704353001429e-06
NM_001610,ACP2,1.8528415553285183e-06,2.213266795105821e-06,1.639456885263571e-05,7.029104501361855e-06
NM_001111035,ACP5,1.3050990261456057e-06,1.5553701807648386e-06,1.1521260598258063e-05,5.413772478826871e-06
NM_016361,ACP6,1.687956966251585e-06,1.3719357353754381e-06,1.0162486928706949e-05,4.79181452908224e-06
NM_152282,ACPL2,1.6924964364276768e-06,2.064589757665351e-06,1.5293257464187784e-05,6.410619496207429e-06
NM_001099,ACPP,1.8396700715252088e-06,1.3496891867975121e-06,9.997697679981571e-06,4.299322266787704e-06
NM_033068,ACPT,1.5102626495923023e-06,1.7113300189080908e-06,1.267651865857845e-05,6.1986911763606105e-06
NM_001097,ACR,1.8658666277033424e-06,1.924127153701295e-06,1.4252793731120704e-05,6.743727297598055e-06
NM_032489,ACRBP,2.6068321591890684e-06,2.2280953306305763e-06,1.6504409856522788e-05,6.964661283938882e-06
NM_052957,ACRC,2.5654897959593188e-06,3.0593824320091574e-06,2.266209208895672e-05,1.2921115244259301e-05
NM_001612,ACRV1,1.0682352735862732e-06,8.788884728870628e-07,6.510284984348613e-06,2.792543841237336e-06
NM_015162,ACSBG1,2.9360500859904083e-06,3.4804369324224656e-06,2.5781014314240483e-05,1.2150663676334156e-05
NM_030924,ACSBG2,2.8788028479707126e-06,2.4139805607317915e-06,1.7881337486902157e-05,8.152672562240388e-06
NM_025149,ACSF2,2.910584799923631e-06,2.5664556778964547e-06,1.9010782799232996e-05,8.51138038202376e-06
NM_001243279,ACSF3,2.3385377351728675e-06,2.8949013479967214e-06,2.1443713688864603e-05,1.1181498245842186e-05
NM_001995,ACSL1,3.7117804140873063e-06,2.9002388678765934e-06,2.148325087315995e-05,1.0207044307665842e-05
NM_004457,ACSL3,3.3336939119311624e-06,2.6383582652967852e-06,1.9543394557753964e-05,7.51795981512007e-06
NM_022977,ACSL4,3.263822761645019e-06,2.3048027767432937e-06,1.7072613161061433e-05,6.550885369386104e-06
NM_203380,ACSL5,2.9912181157356744e-06,2.4464354908396847e-06,1.8121744376590255e-05,7.935969681957703e-06
NM_015256,ACSL6,3.4453133710851905e-06,2.9856147558703387e-06,2.2115664858298804e-05,9.2108561544842e-06
NM_052956,ACSM1,2.8437418047313223e-06,2.2575312381622157e-06,1.6722453616016413e-05,6.905577442196835e-06
NM_001010845,ACSM2A,3.1240282430357466e-06,2.1823970628885323e-06,1.616590416954468e-05,6.434280649922968e-06
NM_182617,ACSM2B,3.1278538104011566e-06,2.165378241386363e-06,1.6039838825084168e-05,6.379696226625794e-06
NM_005622,ACSM3,2.871778239288195e-06,1.99679632402708e-06,1.4791083881682072e-05,5.833107765394224e-06
NM_001080454,ACSM4,2.1802959967908603e-06,2.2291216427483552e-06,1.6512012168506332e-05,6.465468497750434e-06
NM_017888,ACSM5,2.6540069510722136e-06,2.4134247851548847e-06,1.7877220630776922e-05,7.881338850934167e-06
NM_032501,ACSS1,2.864470074541011e-06,3.2035666839621825e-06,2.3730123584905054e-05,1.1297959146727977e-05
NM_001076552,ACSS2,3.153194240841705e-06,2.5120817504135123e-06,1.8608012966026014e-05,6.948643007488283e-06
NM_024560,ACSS3,3.0784420698684418e-06,2.676293679878066e-06,1.9824397628726412e-05,8.739769925905883e-06
NM_001100,ACTA1,1.4547645044193717e-06,2.5277479595821797e-06,1.8724058959867996e-05,1.1112198737687343e-05
NM_001141945,ACTA2,1.5608649897627558e-06,1.7144853105394496e-06,1.2699891189181108e-05,5.090963695230942e-06
NM_001101,ACTB,1.2716540403835342e-06,2.2142862768580002e-06,1.640212056931852e-05,8.515300920209448e-06
NM_001017992,ACTBL2,1.4131566746883524e-06,1.6789345583239866e-06,1.2436552283881382e-05,4.800649512466851e-06
NM_005159,ACTC1,1.278441757918523e-06,1.839643915943075e-06,1.3626991969948702e-05,5.53732481981212e-06
NM_001199954,ACTG1,1.4969866514425347e-06,2.2291216427483552e-06,1.6512012168506332e-05,9.10122812029189e-06
NM_001615,ACTG2,1.49841392101273e-06,1.5839219178713989e-06,1.1732754947195547e-05,4.4279223877870795e-06
NM_001024675,ACTL10,7.914272509873843e-07,1.3958339863262012e-06,1.0339511009823712e-05,5.396348637300687e-06
NM_178042,ACTL6A,1.7708739967006535e-06,1.3779509815348887e-06,1.0207044307665842e-05,3.816805241900824e-06
NM_016188,ACTL6B,2.296789708447448e-06,1.9803126809784884e-06,1.4668982822062875e-05,7.419933277899436e-06
NM_006687,ACTL7A,1.5197205219697814e-06,2.0641144230324593e-06,1.5289736466907104e-05,7.624300412007572e-06
NM_006686,ACTL7B,1.234622783671643e-06,2.4520751070882907e-06,1.8163519311765115e-05,1.0602297833345995e-05
NM_030812,ACTL8,1.3196076117897344e-06,1.9558420022854265e-06,1.4487718535447603e-05,6.888108826526805e-06
NM_178525,ACTL9,1.3456675862761637e-06,2.5640929730949485e-06,1.8993281282184803e-05,1.0403991770513517e-05
NM_001130004,ACTN1,4.412846541558551e-06,4.5074795857891615e-06,3.338873767251231e-05,1.4835425261474882e-05
NM_001103,ACTN2,3.886259960892243e-06,4.306592388566537e-06,3.190068435975212e-05,1.517749155861248e-05
NM_001104,ACTN3,3.603253285376495e-06,4.575449522782199e-06,3.3892218687275543e-05,1.4668982822062875e-05
NM_004924,ACTN4,3.842186470986719e-06,4.675561442211776e-06,3.463378846082797e-05,1.7402033485388352e-05
NM_018477,ACTR10,1.970206736834194e-06,1.5607515269593324e-06,1.156112242192098e-05,4.674121528671502e-06
NM_005736,ACTR1A,2.216565712475007e-06,1.7451540460891326e-06,1.2927067008067648e-05,5.672833016309789e-06
NM_005735,ACTR1B,1.93244911516278e-06,2.052739165138871e-06,1.520547529732497e-05,7.016168330679753e-06
NM_001005386,ACTR2,2.2001293741561966e-06,1.3849489600109145e-06,1.0258881185266032e-05,3.68468189147868e-06
NM_005721,ACTR3,2.002158866650965e-06,1.4778616125878705e-06,1.0947123056206447e-05,3.8468034777189065e-06
NM_020445,ACTR3B,2.1068852667157283e-06,1.8286633821276332e-06,1.3545654682426911e-05,6.290714855478365e-06
NM_024855,ACTR5,2.3193930996254193e-06,2.1980307736567615e-06,1.6281709434494527e-05,6.544854558704405e-06
NM_022496,ACTR6,1.908746429245553e-06,1.362177707081881e-06,1.0090205237643563e-05,3.6635320899147172e-06
NM_022899,ACTR8,3.295991945317735e-06,2.188939551444368e-06,1.6214367047736058e-05,6.45505578769006e-06
NM_138289,ACTRT1,1.1456671997354578e-06,1.3955126206732892e-06,1.0337130523505845e-05,4.2520660297201455e-06
NM_080431,ACTRT2,1.1076365481391076e-06,1.8751403036207498e-06,1.3889928174968517e-05,7.98178453491152e-06
NM_032487,ACTRT3,1.1310569037120677e-06,1.4991109227004128e-06,1.110452535333639e-05,5.14635807013727e-06
NM_001105,ACVR1,2.233094953325502e-06,2.002782410299109e-06,1.4835425261474882e-05,6.4788809526877936e-06
NM_020328,ACVR1B,2.399728085045625e-06,2.262214431037112e-06,1.6757143933608236e-05,6.843842399195384e-06
NM_145259,ACVR1C,2.3539172263894438e-06,1.8691052979722103e-06,1.384522442942378e-05,5.628594992827296e-06
NM_001616,ACVR2A,2.2514915450292045e-06,1.7042518279805169e-06,1.2624087614670494e-05,5.126252569702841e-06
NM_001106,ACVR2B,2.3008108765485505e-06,2.4436205486155204e-06,1.8100892952707558e-05,8.629785477669701e-06
NM_000020,ACVRL1,2.0540852046793218e-06,2.5300771739686197e-06,1.8741312399767553e-05,8.892011178579481e-06
NM_000666,ACY1,1.7414389902056216e-06,1.9179344873612453e-06,1.4206922128601817e-05,5.576991723756768e-06
NM_080658,ACY3,1.2470444863202614e-06,1.563629187128461e-06,1.1582438423173784e-05,5.854637363205773e-06
NM_203488,ACYP1,1.9079580909198106e-07,1.8794629484500622e-07,1.3921947766296757e-06,4.1020410298660726e-07
NM_138448,ACYP2,4.444029448531395e-07,3.9367131280036667e-07,2.9160837985212342e-06,1.2036493897912134e-06
NM_000022,ADA,1.683458658203496e-06,1.5171683300436569e-06,1.1238283926249309e-05,5.246866327776169e-06
NM_139243,ADAD1,2.431860761083589e-06,1.937018499613993e-06,1.4348285182325875e-05,5.372791656065097e-06
NM_139174,ADAD2,2.343743639967395e-06,3.019491201779336e-06,2.236660149466175e-05,1.1439314495393061e-05
NM_001159280,ADAL,1.1130531303778942e-06,7.432480329544728e-07,5.5055409848479465e-06,2.2877048874073726e-06
NM_001110,ADAM10,3.423573369338044e-06,2.5860312490323826e-06,1.91557870298695e-05,6.65119989031216e-06
NM_002390,ADAM11,4.082820891290726e-06,3.6858169974690988e-06,2.730234812940073e-05,1.255451673687138e-05
NM_003474,ADAM12,4.020317010407086e-06,3.698569368266884e-06,2.739681013531025e-05,1.2069797949676543e-05
NM_207197,ADAM15,4.382478344079826e-06,3.5961166306354396e-06,2.6637900967669922e-05,1.1160920123869207e-05
NM_003183,ADAM17,3.6142968218504707e-06,3.1479930762620767e-06,2.3318467231570937e-05,1.021409751989849e-05
NM_014237,ADAM18,3.0832456692919654e-06,2.4084285595085146e-06,1.784021155191492e-05,7.038822279364571e-06
NM_033274,ADAM19,4.487860177684294e-06,3.775146141687575e-06,2.7964045493982034e-05,1.2805602007037928e-05
NM_001464,ADAM2,3.1280660009203107e-06,2.4396850701147496e-06,1.8071741260109257e-05,7.097411730944606e-06
NM_003814,ADAM20,2.504067615184943e-06,2.5658647976680917e-06,1.900640590865253e-05,7.19780372802699e-06
