Ensembl Gene ID	Ensembl Transcript ID	RefSeq mRNA [e.g. NM_001195597]
ENSG00000168036	ENST00000396183	NM_001098210
ENSG00000198932	ENST00000415986	NM_001099410
ENSG00000198932	ENST00000444152	NM_001099411
ENSG00000176406	ENST00000504942	NM_001100117
ENSG00000075624	ENST00000331789	NM_001101
ENSG00000085276	ENST00000264674	NM_001105077
ENSG00000085276	ENST00000468789	NM_001105078
ENSG00000127329	ENST00000334414	NM_001109754
ENSG00000277800	ENST00000619509	NM_001109878
ENSG00000122145	ENST00000373296	NM_001109878
ENSG00000281700	ENST00000373291	NM_001109879
ENSG00000277800	ENST00000619509	NM_001109879
ENSG00000196531	ENST00000356769	NM_001113202
ENSG00000196531	ENST00000550952	NM_001113203
ENSG00000162631	ENST00000370073	NM_001113226
ENSG00000162631	ENST00000370071	NM_001113228
ENSG00000103197	ENST00000350773	NM_001114382
ENSG00000188176	ENST00000389313	NM_001114974
ENSG00000021826	ENST00000430249	NM_001122633
ENSG00000021826	ENST00000451903	NM_001122634
ENSG00000168769	ENST00000380013	NM_001127208
ENSG00000135903	ENST00000409551	NM_001127366
ENSG00000105976	ENST00000318493	NM_001127500
ENSG00000022355	ENST00000428797	NM_001127643
ENSG00000022355	ENST00000393943	NM_001127644
ENSG00000022355	ENST00000437025	NM_001127645
ENSG00000022355	ENST00000437025	NM_001127648
ENSG00000064933	ENST00000409823	NM_001128143
ENSG00000064933	ENST00000447232	NM_001128144
ENSG00000072274	ENST00000360110	NM_001128148
ENSG00000180822	ENST00000438998	NM_001128591
ENSG00000180822	ENST00000419065	NM_001128592
ENSG00000157388	ENST00000422281	NM_001128839
ENSG00000157388	ENST00000350061	NM_001128840
ENSG00000127616	ENST00000429416	NM_001128844
ENSG00000127616	ENST00000541122	NM_001128845
ENSG00000127616	ENST00000589677	NM_001128846
ENSG00000127616	ENST00000590574	NM_001128847
ENSG00000127616	ENST00000444061	NM_001128848
ENSG00000127616	ENST00000450717	NM_001128849
ENSG00000118513	ENST00000442647	NM_001130172
ENSG00000118513	ENST00000341911	NM_001130173
ENSG00000197694	ENST00000372739	NM_001130438
ENSG00000170234	ENST00000307063	NM_001130864
ENSG00000076685	ENST00000343289	NM_001134373
ENSG00000183454	ENST00000330684	NM_001134407
ENSG00000183454	ENST00000562109	NM_001134408
ENSG00000184012	ENST00000398585	NM_001135099
ENSG00000158560	ENST00000447467	NM_001135556
ENSG00000158560	ENST00000359388	NM_001135557
ENSG00000273993	ENST00000618215	NM_001135648
ENSG00000152894	ENST00000368213	NM_001135648
ENSG00000179915	ENST00000404971	NM_001135659
ENSG00000180822	ENST00000473000	NM_001135750
ENSG00000175387	ENST00000356825	NM_001135937
ENSG00000143322	ENST00000344730	NM_001136000
ENSG00000139263	ENST00000379141	NM_001136051
ENSG00000071564	ENST00000588136	NM_001136139
ENSG00000132958	ENST00000400103	NM_001141968
ENSG00000197535	ENST00000356338	NM_001142495
ENSG00000172409	ENST00000302731	NM_001142597
ENSG00000066468	ENST00000369056	NM_001144913
ENSG00000066468	ENST00000369061	NM_001144914
ENSG00000066468	ENST00000357555	NM_001144915
ENSG00000066468	ENST00000356226	NM_001144916
ENSG00000066468	ENST00000369060	NM_001144917
ENSG00000066468	ENST00000356226	NM_001144918
ENSG00000066468	ENST00000360144	NM_001144919
ENSG00000131759	ENST00000394089	NM_001145301
ENSG00000131759	ENST00000425707	NM_001145302
ENSG00000135679	ENST00000393415	NM_001145337
ENSG00000135679	ENST00000258148	NM_001145339
ENSG00000135679	ENST00000356290	NM_001145340
ENSG00000169375	ENST00000360439	NM_001145357
ENSG00000169375	ENST00000394947	NM_001145358
ENSG00000198300	ENST00000326441	NM_001146184
ENSG00000198300	ENST00000593695	NM_001146185
ENSG00000198300	ENST00000326441	NM_001146186
ENSG00000198300	ENST00000598410	NM_001146187
ENSG00000163399	ENST00000537345	NM_001160233
ENSG00000163399	ENST00000369496	NM_001160234
ENSG00000118513	ENST00000528774	NM_001161656
ENSG00000118513	ENST00000525369	NM_001161657
ENSG00000118513	ENST00000534121	NM_001161658
ENSG00000118513	ENST00000534044	NM_001161659
ENSG00000118513	ENST00000533624	NM_001161660
ENSG00000006468	ENST00000405192	NM_001163147
ENSG00000006468	ENST00000242066	NM_001163148
ENSG00000006468	ENST00000403685	NM_001163149
ENSG00000006468	ENST00000403527	NM_001163150
ENSG00000006468	ENST00000420159	NM_001163151
ENSG00000006468	ENST00000399357	NM_001163152
ENSG00000085276	ENST00000464456	NM_001163999
ENSG00000085276	ENST00000464456	NM_001164000
ENSG00000181722	ENST00000474710	NM_001164342
ENSG00000181722	ENST00000462705	NM_001164343
ENSG00000181722	ENST00000464560	NM_001164344
ENSG00000181722	ENST00000471418	NM_001164345
ENSG00000181722	ENST00000393785	NM_001164346
ENSG00000181722	ENST00000481632	NM_001164347
ENSG00000188191	ENST00000403562	NM_001164758
ENSG00000188191	ENST00000544935	NM_001164759
ENSG00000188191	ENST00000537384	NM_001164760
ENSG00000188191	ENST00000406797	NM_001164761
ENSG00000188191	ENST00000544935	NM_001164762
ENSG00000066032	ENST00000629316	NM_001164883
ENSG00000076242	ENST00000435176	NM_001167617
ENSG00000076242	ENST00000455445	NM_001167618
ENSG00000076242	ENST00000539477	NM_001167619
ENSG00000145012	ENST00000617246	NM_001167671
ENSG00000145012	ENST00000617246	NM_001167672
ENSG00000112561	ENST00000358871	NM_001167827
ENSG00000143322	ENST00000367623	NM_001168236
ENSG00000143322	ENST00000511413	NM_001168237
ENSG00000143322	ENST00000507173	NM_001168238
ENSG00000143322	ENST00000504405	NM_001168239
ENSG00000169554	ENST00000539609	NM_001171653
ENSG00000119042	ENST00000417098	NM_001172509
ENSG00000119042	ENST00000260926	NM_001172517
ENSG00000151348	ENST00000358681	NM_001178083
ENSG00000198932	ENST00000537097	NM_001184727
ENSG00000138081	ENST00000403359	NM_001190274
ENSG00000141027	ENST00000395848	NM_001190438
ENSG00000141027	ENST00000395851	NM_001190440
ENSG00000104365	ENST00000520835	NM_001190720
ENSG00000072694	ENST00000367961	NM_001190828
ENSG00000102974	ENST00000401394	NM_001191022
ENSG00000166206	ENST00000628124	NM_001191320
ENSG00000166206	ENST00000400188	NM_001191321
ENSG00000164362	ENST00000334602	NM_001193376
ENSG00000215301	ENST00000399959	NM_001193416
ENSG00000215301	ENST00000457138	NM_001193417
ENSG00000133687	ENST00000539277	NM_001193451
ENSG00000134376	ENST00000367399	NM_001193640
ENSG00000278191	ENST00000612826	NM_001194997
ENSG00000110619	ENST00000380525	NM_001194997
ENSG00000203734	ENST00000367682	NM_001195037
ENSG00000197694	ENST00000358161	NM_001195532
ENSG00000100697	ENST00000541352	NM_001195573
ENSG00000118058	ENST00000534358	NM_001197104
ENSG00000257923	ENST00000360264	NM_001202543
ENSG00000257923	ENST00000547394	NM_001202544
ENSG00000257923	ENST00000425244	NM_001202545
ENSG00000257923	ENST00000393824	NM_001202546
ENSG00000101745	ENST00000400020	NM_001204056
ENSG00000185630	ENST00000627490	NM_001204963
ENSG00000085276	ENST00000628990	NM_001205194
ENSG00000127329	ENST00000550857	NM_001206971
ENSG00000127329	ENST00000538708	NM_001206972
ENSG00000130396	ENST00000392112	NM_001207008
ENSG00000185811	ENST00000359197	NM_001220765
ENSG00000185811	ENST00000343574	NM_001220767
ENSG00000185811	ENST00000357364	NM_001220768
ENSG00000185811	ENST00000343574	NM_001220770
ENSG00000185811	ENST00000349824	NM_001220771
ENSG00000151239	ENST00000548315	NM_001242397
ENSG00000104365	ENST00000416505	NM_001242778
ENSG00000065609	ENST00000369694	NM_001242792
ENSG00000065609	ENST00000520302	NM_001242793
ENSG00000065609	ENST00000520213	NM_001242794
ENSG00000105221	ENST00000579047	NM_001243027
ENSG00000105221	ENST00000579047	NM_001243028
ENSG00000196367	ENST00000359863	NM_001244580
ENSG00000114861	ENST00000493089	NM_001244808
ENSG00000114861	ENST00000615603	NM_001244810
ENSG00000114861	ENST00000484350	NM_001244812
ENSG00000114861	ENST00000614176	NM_001244813
ENSG00000114861	ENST00000498215	NM_001244814
ENSG00000114861	ENST00000491238	NM_001244815
ENSG00000114861	ENST00000475937	NM_001244816
ENSG00000169696	ENST00000306729	NM_001251888
ENSG00000156650	ENST00000372711	NM_001256468
ENSG00000156650	ENST00000372724	NM_001256469
ENSG00000065609	ENST00000520302	NM_001256717
ENSG00000134376	ENST00000535699	NM_001257965
ENSG00000134376	ENST00000538660	NM_001257966
ENSG00000076242	ENST00000456676	NM_001258271
ENSG00000076242	ENST00000536378	NM_001258273
ENSG00000076242	ENST00000458205	NM_001258274
ENSG00000095002	ENST00000543555	NM_001258281
ENSG00000274839	ENST00000619196	NM_001261399
ENSG00000230657	ENST00000621732	NM_001261399
ENSG00000175832	ENST00000545954	NM_001261437
ENSG00000175832	ENST00000538265	NM_001261438
ENSG00000170234	ENST00000523662	NM_001267035
ENSG00000120217	ENST00000381573	NM_001267706
ENSG00000112282	ENST00000354577	NM_001270521
ENSG00000112282	ENST00000368060	NM_001270522
ENSG00000100697	ENST00000527414	NM_001271282
ENSG00000112561	ENST00000420312	NM_001271943
ENSG00000112561	ENST00000373033	NM_001271944
ENSG00000112561	ENST00000403298	NM_001271945
ENSG00000111642	ENST00000357008	NM_001273
ENSG00000174885	ENST00000534750	NM_001276700
ENSG00000158560	ENST00000437599	NM_001278421
ENSG00000158560	ENST00000630942	NM_001278422
ENSG00000135679	ENST00000356290	NM_001278462
ENSG00000166206	ENST00000622697	NM_001278631
ENSG00000072501	ENST00000375340	NM_001281463
ENSG00000116062	ENST00000540021	NM_001281492
ENSG00000116062	ENST00000614496	NM_001281493
ENSG00000116062	ENST00000538136	NM_001281494
ENSG00000068323	ENST00000315869	NM_001282142
ENSG00000101972	ENST00000371160	NM_001282418
ENSG00000066032	ENST00000402739	NM_001282597
ENSG00000066032	ENST00000496558	NM_001282598
ENSG00000066032	ENST00000343114	NM_001282599
ENSG00000066032	ENST00000541047	NM_001282600
ENSG00000196588	ENST00000407029	NM_001282660
ENSG00000196588	ENST00000402042	NM_001282661
ENSG00000196588	ENST00000396617	NM_001282662
ENSG00000164683	ENST00000523976	NM_001282851
ENSG00000104517	ENST00000220959	NM_001282873
ENSG00000184507	ENST00000537011	NM_001284292
ENSG00000184507	ENST00000438749	NM_001284293
ENSG00000187741	ENST00000568369	NM_001286167
ENSG00000137497	ENST00000358965	NM_001286561
ENSG00000121988	ENST00000401392	NM_001286568
ENSG00000121988	ENST00000536680	NM_001286569
ENSG00000102554	ENST00000539231	NM_001286818
ENSG00000168356	ENST00000302328	NM_001287223
ENSG00000162687	ENST00000367433	NM_001287819
ENSG00000162687	ENST00000609185	NM_001287820
ENSG00000104313	ENST00000303824	NM_001288574
ENSG00000141367	ENST00000621829	NM_001288653
ENSG00000080503	ENST00000382203	NM_001289396
ENSG00000080503	ENST00000357248	NM_001289397
ENSG00000080503	ENST00000324954	NM_001289398
ENSG00000080503	ENST00000302401	NM_001289399
ENSG00000080503	ENST00000302401	NM_001289400
ENSG00000064933	ENST00000624204	NM_001289408
ENSG00000064933	ENST00000432292	NM_001289409
ENSG00000100697	ENST00000343455	NM_001291628
ENSG00000100697	ENST00000526495	NM_001291628
ENSG00000185811	ENST00000343574	NM_001291838
ENSG00000273993	ENST00000619256	NM_001291981
ENSG00000152894	ENST00000532331	NM_001291981
ENSG00000152894	ENST00000368215	NM_001291984
ENSG00000134323	ENST00000281043	NM_001293228
ENSG00000111642	ENST00000544040	NM_001297553
ENSG00000076984	ENST00000397983	NM_001297555
ENSG00000076984	ENST00000397981	NM_001297556
ENSG00000215301	ENST00000399959	NM_001356
ENSG00000157540	ENST00000398960	NM_001396
ENSG00000100393	ENST00000263253	NM_001429
ENSG00000104365	ENST00000520810	NM_001556
ENSG00000105221	ENST00000392038	NM_001626
ENSG00000102554	ENST00000377687	NM_001730
ENSG00000278191	ENST00000612826	NM_001751
ENSG00000110619	ENST00000397111	NM_001751
ENSG00000105369	ENST00000221972	NM_001783
ENSG00000070371	ENST00000621271	NM_001835
ENSG00000021826	ENST00000233072	NM_001875
ENSG00000168036	ENST00000349496	NM_001904
ENSG00000257923	ENST00000437600	NM_001913
ENSG00000111676	ENST00000396684	NM_001940
ENSG00000175832	ENST00000591713	NM_001986
ENSG00000139083	ENST00000396373	NM_001987
ENSG00000115414	ENST00000336916	NM_002026
ENSG00000163041	ENST00000366815	NM_002107
ENSG00000168685	ENST00000303115	NM_002185
ENSG00000162434	ENST00000342505	NM_002227
ENSG00000128052	ENST00000263923	NM_002253
ENSG00000144218	ENST00000317233	NM_002285
ENSG00000135679	ENST00000258149	NM_002392
ENSG00000278466	ENST00000630886	NM_002457
ENSG00000100345	ENST00000216181	NM_002473
ENSG00000276480	ENST00000621545	NM_002474
ENSG00000133392	ENST00000300036	NM_002474
ENSG00000244165	ENST00000321826	NM_002566
ENSG00000070756	ENST00000318607	NM_002568
ENSG00000185630	ENST00000420696	NM_002585
ENSG00000113721	ENST00000261799	NM_002609
ENSG00000179094	ENST00000317276	NM_002616
ENSG00000140464	ENST00000395135	NM_002675
ENSG00000274839	ENST00000619196	NM_002723
ENSG00000230657	ENST00000279575	NM_002723
ENSG00000188191	ENST00000360274	NM_002735
ENSG00000169032	ENST00000307102	NM_002755
ENSG00000151239	ENST00000395510	NM_002822
ENSG00000179295	ENST00000351677	NM_002834
ENSG00000127329	ENST00000261266	NM_002837
ENSG00000273993	ENST00000618924	NM_002844
ENSG00000152894	ENST00000368226	NM_002844
ENSG00000047936	ENST00000368508	NM_002944
ENSG00000080503	ENST00000349721	NM_003070
ENSG00000127616	ENST00000344626	NM_003072
ENSG00000066117	ENST00000394963	NM_003076
ENSG00000181449	ENST00000325404	NM_003106
ENSG00000197694	ENST00000372731	NM_003127
ENSG00000071564	ENST00000262965	NM_003200
ENSG00000072274	ENST00000392396	NM_003234
ENSG00000047410	ENST00000367478	NM_003292
ENSG00000136352	ENST00000498187	NM_003317
ENSG00000082898	ENST00000401558	NM_003400
ENSG00000167548	ENST00000301067	NM_003482
ENSG00000196367	ENST00000355540	NM_003496
ENSG00000169902	ENST00000304842	NM_003596
ENSG00000149133	ENST00000278409	NM_003697
ENSG00000084676	ENST00000348332	NM_003743
ENSG00000273936	ENST00000621877	NM_003820
ENSG00000157873	ENST00000355716	NM_003820
ENSG00000112902	ENST00000382496	NM_003966
ENSG00000188846	ENST00000338970	NM_003973
ENSG00000072694	ENST00000358671	NM_004001
ENSG00000138363	ENST00000236959	NM_004044
ENSG00000073578	ENST00000264932	NM_004168
ENSG00000236250	ENST00000424104	NM_004197
ENSG00000206342	ENST00000383328	NM_004197
ENSG00000226033	ENST00000444147	NM_004197
ENSG00000204344	ENST00000375331	NM_004197
ENSG00000226257	ENST00000426802	NM_004197
ENSG00000234947	ENST00000425138	NM_004197
ENSG00000165970	ENST00000525748	NM_004211
ENSG00000100815	ENST00000267622	NM_004239
ENSG00000157764	ENST00000288602	NM_004333
ENSG00000118260	ENST00000353267	NM_004379
ENSG00000005339	ENST00000262367	NM_004380
ENSG00000066032	ENST00000496558	NM_004389
ENSG00000108654	ENST00000225792	NM_004396
ENSG00000158560	ENST00000324972	NM_004411
ENSG00000154928	ENST00000398015	NM_004441
ENSG00000179399	ENST00000377067	NM_004466
ENSG00000281151	ENST00000628544	NM_004518
ENSG00000075043	ENST00000360480	NM_004518
ENSG00000170759	ENST00000302418	NM_004521
ENSG00000073350	ENST00000167462	NM_004524
ENSG00000163930	ENST00000460680	NM_004656
ENSG00000029725	ENST00000537505	NM_004703
ENSG00000179915	ENST00000406316	NM_004801
ENSG00000112282	ENST00000368068	NM_004830
ENSG00000141367	ENST00000269122	NM_004859
ENSG00000006468	ENST00000430479	NM_004956
ENSG00000198793	ENST00000361445	NM_004958
ENSG00000085276	ENST00000494292	NM_004991
ENSG00000070081	ENST00000529010	NM_005013
ENSG00000155463	ENST00000285848	NM_005015
ENSG00000137509	ENST00000313010	NM_005040
ENSG00000116560	ENST00000357214	NM_005066
ENSG00000126883	ENST00000359428	NM_005085
ENSG00000066455	ENST00000163416	NM_005113
ENSG00000054118	ENST00000354618	NM_005119
ENSG00000097007	ENST00000318560	NM_005157
ENSG00000143322	ENST00000512653	NM_005158
ENSG00000110395	ENST00000264033	NM_005188
ENSG00000146648	ENST00000275493	NM_005228
ENSG00000085276	ENST00000628990	NM_005241
ENSG00000083857	ENST00000441802	NM_005245
ENSG00000080824	ENST00000216281	NM_005348
ENSG00000141646	ENST00000342988	NM_005359
ENSG00000118513	ENST00000367814	NM_005375
ENSG00000134323	ENST00000281043	NM_005378
ENSG00000108091	ENST00000263102	NM_005436
ENSG00000108055	ENST00000361804	NM_005445
ENSG00000155495	ENST00000285879	NM_005462
ENSG00000113263	ENST00000422843	NM_005546
ENSG00000145012	ENST00000617246	NM_005578
ENSG00000184012	ENST00000332149	NM_005656
ENSG00000069431	ENST00000261201	NM_005691
ENSG00000127914	ENST00000356239	NM_005751
ENSG00000175387	ENST00000262160	NM_005901
ENSG00000106511	ENST00000262041	NM_005924
ENSG00000118058	ENST00000389506	NM_005933
ENSG00000185811	ENST00000331340	NM_006060
ENSG00000137497	ENST00000393695	NM_006185
ENSG00000078674	ENST00000325083	NM_006197
ENSG00000198300	ENST00000326441	NM_006210
ENSG00000153201	ENST00000283195	NM_006267
ENSG00000072501	ENST00000322213	NM_006306
ENSG00000141027	ENST00000268712	NM_006311
ENSG00000075223	ENST00000265361	NM_006379
ENSG00000068323	ENST00000315869	NM_006521
ENSG00000102974	ENST00000264010	NM_006565
ENSG00000101972	ENST00000371157	NM_006603
ENSG00000104723	ENST00000503731	NM_006765
ENSG00000099949	ENST00000215739	NM_006767
ENSG00000172409	ENST00000525602	NM_006831
ENSG00000136238	ENST00000348035	NM_006908
ENSG00000070371	ENST00000427926	NM_007098
ENSG00000112561	ENST00000230323	NM_007162
ENSG00000097007	ENST00000372348	NM_007313
ENSG00000143322	ENST00000502732	NM_007314
ENSG00000169925	ENST00000303407	NM_007371
ENSG00000076685	ENST00000343289	NM_012229
ENSG00000164683	ENST00000354724	NM_012258
ENSG00000156650	ENST00000287239	NM_012330
ENSG00000115524	ENST00000335508	NM_012433
ENSG00000168356	ENST00000302328	NM_014139
ENSG00000120217	ENST00000381577	NM_014143
ENSG00000181555	ENST00000409792	NM_014159
ENSG00000105568	ENST00000322088	NM_014225
ENSG00000197157	ENST00000354725	NM_014390
ENSG00000277600	ENST00000617982	NM_014516
ENSG00000276082	ENST00000620573	NM_014516
ENSG00000273943	ENST00000619854	NM_014516
ENSG00000274941	ENST00000610883	NM_014516
ENSG00000277615	ENST00000616910	NM_014516
ENSG00000275979	ENST00000611252	NM_014516
ENSG00000274176	ENST00000612924	NM_014516
ENSG00000277114	ENST00000620060	NM_014516
ENSG00000088038	ENST00000221232	NM_014516
ENSG00000274616	ENST00000616359	NM_014516
ENSG00000198932	ENST00000361600	NM_014710
ENSG00000169554	ENST00000627532	NM_014795
ENSG00000065609	ENST00000439399	NM_014841
ENSG00000196220	ENST00000383836	NM_014850
ENSG00000162631	ENST00000370074	NM_014917
ENSG00000065526	ENST00000375759	NM_015001
ENSG00000186487	ENST00000428368	NM_015025
ENSG00000079432	ENST00000575354	NM_015125
ENSG00000101745	ENST00000262126	NM_015208
ENSG00000171735	ENST00000303635	NM_015215
ENSG00000119042	ENST00000457245	NM_015265
ENSG00000171456	ENST00000375687	NM_015338
ENSG00000169375	ENST00000394949	NM_015477
ENSG00000152217	ENST00000282030	NM_015559
ENSG00000089101	ENST00000245957	NM_015585
ENSG00000181722	ENST00000357258	NM_015642
ENSG00000104517	ENST00000520539	NM_015902
ENSG00000169251	ENST00000351193	NM_015938
ENSG00000112282	ENST00000354577	NM_015979
ENSG00000077080	ENST00000160382	NM_016188
ENSG00000277800	ENST00000628957	NM_016954
ENSG00000122145	ENST00000373294	NM_016954
ENSG00000049618	ENST00000350026	NM_017519
ENSG00000148400	ENST00000277541	NM_017617
ENSG00000147548	ENST00000316985	NM_017778
ENSG00000119866	ENST00000356842	NM_018014
ENSG00000163939	ENST00000394830	NM_018313
ENSG00000136238	ENST00000356142	NM_018890
ENSG00000102271	ENST00000373119	NM_019117
ENSG00000069431	ENST00000261200	NM_020297
ENSG00000049618	ENST00000346085	NM_020732
ENSG00000196588	ENST00000355630	NM_020831
ENSG00000145388	ENST00000388822	NM_020961
ENSG00000240038	ENST00000361355	NM_020978
ENSG00000164588	ENST00000303230	NM_021072
ENSG00000105369	ENST00000444740	NM_021601
ENSG00000145864	ENST00000274547	NM_021911
ENSG00000166206	ENST00000299267	NM_021912
ENSG00000178104	ENST00000530472	NM_022359
ENSG00000165671	ENST00000439151	NM_022455
ENSG00000185274	ENST00000333538	NM_022479
ENSG00000119772	ENST00000321117	NM_022552
ENSG00000140577	ENST00000268184	NM_022769
ENSG00000276480	ENST00000616422	NM_022844
ENSG00000133392	ENST00000576790	NM_022844
ENSG00000119866	ENST00000335712	NM_022893
ENSG00000204764	ENST00000523189	NM_022897
ENSG00000066468	ENST00000457416	NM_022970
ENSG00000066468	ENST00000613048	NM_023029
ENSG00000147548	ENST00000317025	NM_023034
ENSG00000169696	ENST00000306739	NM_024083
ENSG00000177565	ENST00000457928	NM_024665
ENSG00000138081	ENST00000402508	NM_025133
ENSG00000118322	ENST00000327245	NM_025153
ENSG00000100697	ENST00000393063	NM_030621
ENSG00000138336	ENST00000373644	NM_030625
ENSG00000188581	ENST00000306271	NM_030967
ENSG00000262808	ENST00000573871	NM_030967
ENSG00000126259	ENST00000262625	NM_032123
ENSG00000121988	ENST00000264159	NM_032143
ENSG00000184564	ENST00000400286	NM_032229
ENSG00000131653	ENST00000326181	NM_032271
ENSG00000236250	ENST00000438256	NM_032454
ENSG00000206342	ENST00000383327	NM_032454
ENSG00000226033	ENST00000431383	NM_032454
ENSG00000204344	ENST00000375333	NM_032454
ENSG00000226257	ENST00000452688	NM_032454
ENSG00000234947	ENST00000433397	NM_032454
ENSG00000147138	ENST00000276077	NM_032553
ENSG00000114861	ENST00000318789	NM_032682
ENSG00000139438	ENST00000538780	NM_032829
ENSG00000144554	ENST00000287647	NM_033084
ENSG00000158715	ENST00000367145	NM_033102
ENSG00000140464	ENST00000268058	NM_033238
ENSG00000140464	ENST00000268059	NM_033239
ENSG00000140464	ENST00000435786	NM_033240
ENSG00000140464	ENST00000436891	NM_033244
ENSG00000140464	ENST00000359928	NM_033246
ENSG00000140464	ENST00000395132	NM_033247
ENSG00000140464	ENST00000564428	NM_033249
ENSG00000140464	ENST00000354026	NM_033250
ENSG00000170234	ENST00000456329	NM_052927
ENSG00000196578	ENST00000358642	NM_054106
ENSG00000102271	ENST00000373114	NM_057162
ENSG00000087460	ENST00000371100	NM_080425
ENSG00000087460	ENST00000371095	NM_080426
ENSG00000179295	ENST00000392597	NM_080601
ENSG00000157540	ENST00000338785	NM_101395
ENSG00000157540	ENST00000339659	NM_130436
ENSG00000157540	ENST00000398956	NM_130438
ENSG00000132958	ENST00000390680	NM_130785
ENSG00000118260	ENST00000432329	NM_134442
ENSG00000174885	ENST00000312165	NM_138329
ENSG00000250571	ENST00000340042	NM_138465
ENSG00000119866	ENST00000359629	NM_138559
ENSG00000179915	ENST00000342183	NM_138735
ENSG00000152910	ENST00000478060	NM_138994
ENSG00000080503	ENST00000357248	NM_139045
ENSG00000066117	ENST00000381513	NM_139071
ENSG00000278191	ENST00000612826	NM_139273
ENSG00000110619	ENST00000278224	NM_139273
ENSG00000137812	ENST00000399668	NM_144508
ENSG00000076984	ENST00000397979	NM_145185
ENSG00000127914	ENST00000356239	NM_147185
ENSG00000084676	ENST00000288599	NM_147223
